title,price,count,rating,brand,info_dict
吉普（JEEP）羽绒服男冬季短款休闲棒球领外套男士保暖潮牌衣服男装 黑色 XL,319.00,2000+,97%,品牌： 吉普（JEEP）,"{'商品名称': '吉普羽绒服', '商品编号': '100073638778', '商品毛重': '0.98kg', '商品产地': '中国福建省', '货号': 'Q-DYFFDJP2210XJ', '材质': '涤纶(聚酯纤维)100%', '领型': '棒球领', '版型': '标准型', '穿着方式': '开衫', '流行元素': '车缝线，简约', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青年，中年', '填充物': '鸭绒', '衣长': '短款', '风格': '百搭风', '充绒量': '100g以下', '图案': '纯色', '适用场景': '学校，旅行'}"
伯希和（Pelliot）户外冲锋衣男女三合一硬壳外套防风防水春秋夹克服11340105黑XXL,629.00,2万+,99%,品牌： 伯希和（Pelliot）,"{'商品名称': '伯希和11340105', '商品编号': '100055582114', '商品毛重': '0.91kg', '商品产地': '中国大陆', '货号': '11340105', '工艺': '接缝全压胶', '面料': '棉涤', '功能': '防水，防风，保暖', '类别': '三合一冲锋衣', '里料材质': '涤纶(聚酯纤维)', '适用季节': '冬季，四季通用', '材质': '涤纶(聚酯纤维)100%', '上市时间': '2023年秋季'}"
I'M DAVID冲锋衣外套男春秋冬季工装户外加绒加厚夹克运动宽松 黑 2XL,158.00,2万+,93%,品牌： I'M DAVID,"{'商品名称': ""I'M DAVID夹克+ALG1992"", '商品编号': '100074894901', '商品毛重': '470.00g', '商品产地': '福建省泉州市', '货号': '1992', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '上市时间': '2022年冬季', '厚度': '加绒', '适用人群': '青年，青少年', '流行元素': '印花，刺绣', '领型': '连帽', '衣长': '常规款', '衣门襟': '拉链', '图案': '字母', '适用场景': '旅行，学校', '风格': '日韩风', '日韩风': '韩版'}"
森马（Semir）外套女立领夹克简约ins潮2023冬季气质毛绒衣服休闲109723108005,149.00,2000+,97%,品牌： 森马（Semir）,"{'商品名称': '森马109723108005', '商品编号': '100063228284', '商品毛重': '0.75kg', '商品产地': '中国大陆', '货号': '109723108005', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '上市时间': '2023年冬季', '领型': '立领', '衣门襟': '拉链', '袖型': '常规袖', '厚度': '常规', '风格': '百搭风', '类别': '夹克', '图案': '纯色', '袖长': '长袖'}"
俞兆林棉服女冬季加厚面包服棉袄宽松棉衣女外套女上衣 Y13KM1281,69.00,500+,97%,品牌： 俞兆林（YUZHAOLIN）,"{'商品名称': '俞兆林棉服', '商品编号': '100078656191', '商品毛重': '500.00g', '商品产地': '中国浙江', '货号': 'Y13KM1281', '材质': '涤纶(聚酯纤维)96%', '衣门襟': '拉链', '上市时间': '2023年冬季', '版型': '宽松型', '衣长': '常规款', '风格': '百搭风', '适用年龄': '18-24周岁，25-29周岁，30-34周岁', '领型': '立领', '穿着方式': '常规', '流行元素': '链条，口袋', '袖长': '长袖', '袖型': '常规袖', '填充物': '涤纶(聚酯纤维)', '图案': '纯色', '厚度': '厚款'}"
班尼路（Baleno）男士无帽卫衣男秋冬款长袖T恤男装秋季重磅情侣美式打底衫外套男,59.00,2000+,94%,品牌： 班尼路（Baleno）,"{'商品名称': '班尼路23PY19', '商品编号': '100073469816', '商品毛重': '320.00g', '商品产地': '中国大陆', '货号': 'BN_23PY19T000-03-1', '材质': '棉63%，涤纶(聚酯纤维)37%', '厚度': '常规', '版型': '修身型', '适用季节': '秋季，冬季', '穿着方式': '套头', '上市时间': '2023年秋季', '工艺': '无工艺', '适用人群': '青年，情侣', '流行元素': '简约', '袖型': '常规袖', '风格': '百搭风', '领型': '圆领', '图案': '纯色', '适用场景': '居家，旅行'}"
Halo Queen棉服女冬季短款立领宽松棉袄百搭小设计加厚棉衣外套 H13QM1846,89.00,1000+,96%,品牌： Halo Queen,"{'商品名称': 'Halo Queen棉服', '商品编号': '100076436620', '商品毛重': '400.00g', '商品产地': '中国大陆', '货号': 'H13QM1846', '材质': '其他99%', '版型': '宽松型', '衣门襟': '拉链', '适用年龄': '18-24周岁，25-29周岁，30-34周岁', '袖长': '长袖', '衣长': '短款', '领型': '立领', '穿着方式': '常规', '填充物': '其他', '袖型': '其他', '风格': '百搭风', '上市时间': '2023年冬季', '图案': '其他', '厚度': '常规'}"
贵人鸟冲锋衣男士夹克秋冬季枫叶加绒外套 枫叶黑【单冲】 XL,129.90,1000+,94%,品牌： 贵人鸟,"{'商品名称': '贵人鸟G18YF6268MY01AA', '商品编号': '100056524212', '商品毛重': '230.00g', '商品产地': '中国大陆', '货号': 'GA47KN6266FY01A99A04', '材质': '涤纶(聚酯纤维)100%', '版型': '修身型', '适用季节': '秋季，冬季', '上市时间': '2023年夏季', '领型': '连帽', '厚度': '常规', '衣长': '常规款', '图案': '纯色', '衣门襟': '拉链', '风格': '休闲风', '休闲风': '简约风'}"
吉普（JEEP）冲锋衣外套男秋冬季工装夹克男防风连帽上衣男 黑/深灰 XL,198.00,5000+,95%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100062657145', '商品毛重': '500.00g', '商品产地': '中国福建省', '货号': 'Q-STCKJP1818ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '可脱卸帽', '适用人群': '青年，青少年', '流行元素': '简约', '厚度': '常规', '风格': '百搭风', '版型': '标准型', '图案': '拼色', '衣长': '常规款'}"
卡帝乐鳄鱼（CARTELO）卫衣男士开衫连帽外套男秋冬季宽松休闲上衣男装 深灰色 XL,168.00,2000+,95%,品牌： 卡帝乐鳄鱼（CARTELO）,"{'商品名称': '卡帝乐鳄鱼卫衣', '商品编号': '100059462032', '商品毛重': '400.00g', '商品产地': '中国福建省', '货号': 'Q-JQKDLNZ3090RZY', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '适用季节': '秋季，冬季', '领型': '连帽', '上市时间': '2023年冬季', '厚度': '厚款', '适用人群': '青少年，青年', '流行元素': '车缝线，简约', '工艺': '水洗', '袖型': '落肩袖', '穿着方式': '开衫', '图案': '纯色', '适用场景': '居家，旅行', '风格': '日韩风', '日韩风': '韩版'}"
吉普（JEEP）冲锋衣夹克男秋冬季防风工装外套男休闲防水上衣 军绿色 XL,258.00,1000+,97%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100070044298', '商品毛重': '0.9kg', '商品产地': '中国大陆', '货号': 'Q-EBJP8868ZY', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '冬季', '上市时间': '2023年冬季', '领型': '连帽', '适用人群': '青年，青少年', '厚度': '常规', '风格': '百搭风', '版型': '标准型', '图案': '纯色', '衣长': '常规款'}"
花花公子（PLAYBOY）冲锋衣男秋冬季夹克男士外套男装休闲潮流连帽男女情侣衣服,199.00,100+,100%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子男士夹克', '商品编号': '100061393228', '商品毛重': '380.00g', '商品产地': '中国福建省', '货号': 'Q-STCKHH1818ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青年，青少年', '领型': '连帽', '衣门襟': '拉链', '衣长': '常规款', '图案': '纯色，字母', '适用场景': '职场，学校', '风格': '日韩风', '日韩风': '韩版'}"
JEEP SPIRIT吉普冲锋衣夹克男春秋外套加厚三合一户外运动登山服 黑色 3XL,269.00,1000+,99%,品牌： JEEP SPIRIT,"{'商品名称': 'JEEP SPIRIT华晟-6268纯色', '商品编号': '100061359942', '商品毛重': '0.9kg', '商品产地': '中国大陆', '货号': 'LG-A436-6266A -04', '材质': '涤纶(聚酯纤维)', '衣门襟': '拉链', '适用季节': '秋季，冬季', '功能': '防风', '领型': '连帽', '流行元素': 'LOGO', '适用运动': '运动休闲', '适用性别': '通用', '上市时间': '2023年秋季', '版型': '常规型'}"
花花公子（PLAYBOY）外套男士夹克男装秋冬季摇粒绒潮流休闲立领冲锋上衣服,218.00,500+,97%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子男士夹克', '商品编号': '100058428498', '商品毛重': '0.52kg', '商品产地': '中国福建省', '货号': 'C-1160HH202213CITZY', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '适用季节': '秋季，冬季', '衣长': '常规款', '厚度': '常规', '流行元素': '简约，车缝线', '衣门襟': '拉链', '领型': '立领', '上市时间': '2023年冬季', '图案': '纯色', '适用场景': '学校', '风格': '日韩风', '日韩风': '韩版'}"
GLM森马集团品牌棉服男士立领秋冬季简约棉衣加厚保暖男装衣服外套,158.00,100+,100%,品牌： GLM,"{'商品名称': 'GLM棉服', '商品编号': '100068329752', '商品毛重': '0.86kg', '商品产地': '中国浙江', '货号': '23091GMJQN-26M001', '材质': '涤纶(聚酯纤维)100%', '穿着方式': '开衫', '版型': '标准型', '衣门襟': '拉链', '填充物': '涤纶(聚酯纤维)', '衣长': '常规款', '领型': '立领', '适用人群': '青少年，青年', '流行元素': '撞色，简约', '厚度': '加厚', '风格': '百搭风', '上市时间': '2023年秋季', '图案': '拼色', '适用场景': '居家，运动'}"
罗蒙（ROMON）冲锋衣男冬季加绒加厚户外棉服防风保暖登山服夹克外套 军绿 4XL,118.00,1000+,92%,品牌： 罗蒙（ROMON）,"{'商品名称': '罗蒙男士冲锋衣', '商品编号': '100066436898', '商品毛重': '1.3kg', '商品产地': '中国大陆', '货号': '02LM1688R', '功能': '防风，保暖', '适用季节': '冬季', '材质': '涤纶(聚酯纤维)100%', '上市时间': '2023年冬季'}"
Jeep马甲男冬季外穿保暖棉服男简约百搭防寒外套男加厚棉衣 3032,159.00,500+,95%,品牌： Jeep,"{'商品名称': 'Jeep马甲外套', '商品编号': '100068232793', '商品毛重': '500.00g', '商品产地': '中国大陆', '货号': 'J32MJ33032', '领型': '立领', '材质': '涤纶(聚酯纤维)100%', '功能': '保暖', '适用季节': '冬季', '上市时间': '2023年冬季', '衣长': '常规款'}"
卡帝乐鳄鱼（CARTELO）夹克男士工装外套男装秋冬季潮流休闲茄克衫上衣服 绿色 XL,169.00,2000+,96%,品牌： 卡帝乐鳄鱼（CARTELO）,"{'商品名称': '卡帝乐鳄鱼夹克', '商品编号': '100059087386', '商品毛重': '480.00g', '商品产地': '中国福建省', '货号': 'Q-ZDKDLNZ6699ZY', '材质': '棉100%', '版型': '标准型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '厚度': '常规', '流行元素': '车缝线，多口袋', '衣门襟': '单排扣', '领型': '翻领', '衣长': '常规款', '图案': '纯色，字母', '适用场景': '职场，旅行', '风格': '日韩风', '日韩风': '韩版'}"
吉普（JEEP）冲锋衣夹克男秋冬季潮流外套男士连帽休闲上衣服男装 黑色 XL,188.00,2000+,96%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100058292960', '商品毛重': '500.00g', '商品产地': '中国福建省', '货号': 'Q-STLJP1899ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '可脱卸帽', '适用人群': '青年，青少年', '风格': '百搭风', '厚度': '常规', '衣长': '常规款', '衣门襟': '拉链'}"
NASA GISS官方潮牌联名夹克男潮流时尚外套秋冬宽松休闲百搭外套 豆绿 XL,59.00,1000+,94%,品牌： NASA GISS,"{'商品名称': 'NASA GISS夹克', '商品编号': '100060997816', '商品毛重': '500.00g', '商品产地': '中国大陆', '货号': '231454BLNS9980', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '四季通用', '上市时间': '2023年秋季', '领型': '立领', '适用人群': '青年，青少年', '流行元素': '车缝线', '厚度': '常规', '版型': '标准型', '衣长': '常规款', '适用场景': '旅行，学校', '风格': '潮流风', '潮流风': '街头风'}"
猫人（MiiOW）氧气冲锋衣男秋季潮流休闲夹克男士户外运动外套男装 象牙白 XL,129.00,200+,99%,品牌： 猫人（MiiOW）,"{'商品名称': '猫人A4-40-552', '商品编号': '100059087160', '商品毛重': '500.00g', '商品产地': '中国大陆', '货号': 'A4-40-552', '材质': '涤纶(聚酯纤维)99%', '版型': '标准型', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '可脱卸帽', '流行元素': '简约，撞色', '厚度': '常规', '上市时间': '2023年秋季', '图案': '纯色，拼色', '衣门襟': '拉链', '风格': '休闲风', '休闲风': '简约风'}"
GLM 加绒夹克男舒绒棉保暖轻便男士外套潮流百搭男装,99.90,41,66%,品牌： GLM,"{'商品名称': 'GLM092323PJ05', '商品编号': '100069117094', '商品毛重': '300.00g', '商品产地': '中国大陆', '货号': '23PJ05A000-14-2', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '拉链', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '立领', '流行元素': '简约', '厚度': '加绒', '风格': '百搭风', '衣长': '常规款', '图案': '纯色', '版型': '宽松型'}"
吉普（JEEP）夹克男士秋冬季冲锋防风衣工装外套男装休闲上衣服 深灰 4XL,238.00,2000+,96%,品牌： 吉普（JEEP）,"{'商品名称': '吉普夹克', '商品编号': '100062657185', '商品毛重': '0.6kg', '商品产地': '中国福建省', '货号': 'Q-EBJP6602ZY', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '上市时间': '2023年冬季', '领型': '连帽', '适用人群': '青年，青少年', '流行元素': '简约', '厚度': '常规', '风格': '百搭风', '衣门襟': '拉链', '图案': '拼色', '衣长': '常规款'}"
森马（Semir）外套女中长款开叉上衣宽松慵懒2023冬季复古毛绒夹克109723108004,289.00,200+,100%,品牌： 森马（Semir）,"{'商品名称': '森马109723108004', '商品编号': '100065944205', '商品毛重': '0.75kg', '商品产地': '中国大陆', '货号': '109723108004', '材质': '涤纶(聚酯纤维)100%', '衣门襟': '单排扣', '衣长': '短款', '领型': '圆领', '袖型': '常规袖', '厚度': '常规', '上市时间': '2023年冬季', '风格': '百搭风', '版型': '标准型', '图案': '纯色', '袖长': '长袖'}"
森马（Semir）外套男2023冬季抗静电摇粒绒情侣夹克舒适户外风上衣109723108204,189.00,2000+,95%,品牌： 森马（Semir）,"{'商品名称': '森马109723108204', '商品编号': '100066174161', '商品毛重': '0.9kg', '商品产地': '中国大陆', '货号': '109723108204', '材质': '涤纶(聚酯纤维)99.2%，其他0.8%', '版型': '宽松型', '适用季节': '冬季', '上市时间': '2023年冬季', '领型': '立领', '适用人群': '青年', '厚度': '常规', '衣长': '常规款', '风格': '百搭风', '衣门襟': '拉链', '图案': '字母', '适用场景': '旅行，学校'}"
泽克（ZEKE）摇粒绒外套男秋冬大码宽松保暖夹克男抓绒衣茄克男8999 黑色 XL,69.00,200+,98%,品牌： 泽克（ZEKE）,"{'商品名称': '泽克夹克', '商品编号': '100042548839', '商品毛重': '0.63kg', '商品产地': '中国福建', '货号': '8999', '材质': '涤纶(聚酯纤维)100%', '版型': '宽松型', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '立领', '适用人群': '青年，青少年', '流行元素': '刺绣，车缝线', '厚度': '常规', '衣门襟': '拉链', '上市时间': '2023年冬季', '图案': '纯色，字母', '适用场景': '职场，旅行', '风格': '休闲风', '休闲风': 'oversize'}"
犸凯奴冲锋衣男女款三合一可拆卸秋冬季加厚外套户外登山服,269.90,14,66%,品牌： 犸凯奴（makino）,"{'商品名称': '犸凯奴MA23899XYL', '商品编号': '100067370677', '商品毛重': '0.8kg', '商品产地': '中国大陆', '货号': 'MA23899XYL', '材质': '涤纶(聚酯纤维)100%', '功能': '耐磨，保暖', '里料材质': '涤纶(聚酯纤维)', '适用季节': '秋季，冬季', '类别': '三合一冲锋衣', '上市时间': '2023年冬季'}"
花花公子（PLAYBOY）毛衣男加绒秋冬季潮流开衫连帽针织衫男士加厚外套衣服 浅灰 XL,149.00,500+,98%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子针织衫', '商品编号': '100068295526', '商品毛重': '0.78kg', '商品产地': '中国福建省', '货号': 'C-2359HH8802XD', '材质': '涤纶(聚酯纤维)100%', '版型': '标准型', '上市时间': '2023年冬季', '领型': '连帽', '适用人群': '青年，中年', '流行元素': '车缝线', '厚度': '加厚', '穿着方式': '开衫', '袖长': '长袖', '风格': '日韩风', '日韩风': '韩版'}"
雪中飞摇粒绒开衫秋冬款时尚休闲立领外套男保暖夹克加厚纯色抓绒衣,79.00,2000+,97%,品牌： 雪中飞,"{'商品名称': '雪中飞X20511091F3JD', '商品编号': '100064708352', '商品毛重': '450.00g', '商品产地': '中国大陆', '货号': 'B442651469388', '材质': '涤纶(聚酯纤维)99%', '版型': '标准型', '适用季节': '秋季，冬季', '衣长': '短款', '领型': '立领', '适用人群': '青年', '厚度': '常规', '衣门襟': '拉链', '上市时间': '2023年秋季', '图案': '纯色', '适用场景': '学校', '风格': '休闲风', '休闲风': '简约风'}"
加洲公牛（CALIFBULL）冲锋夹克衣服男女秋冬季防寒保暖三合一情侣外套透气户外攀登服,136.00,5000+,94%,品牌： 加洲公牛（CALIFBULL）,"{'商品名称': '加洲公牛WZ-6268-JK', '商品编号': '100037210395', '商品毛重': '1.12kg', '商品产地': '中国大陆', '货号': 'WZ-6268-JK', '材质': '涤纶(聚酯纤维)99.9%', '版型': '标准型', '适用季节': '秋季，冬季', '衣长': '常规款', '领型': '连帽', '厚度': '加绒', '流行元素': '简约，印花', '衣门襟': '拉链', '风格': '军旅风', '上市时间': '2022年冬季', '图案': '纯色，字母', '适用场景': '雨天，旅行'}"
花花公子（PLAYBOY）毛衣男加绒开衫秋冬季针织衫男士外套男装潮流连帽线衣 浅灰 XL,119.00,2000+,96%,品牌： 花花公子（PLAYBOY）,"{'商品名称': '花花公子针织衫', '商品编号': '100066282865', '商品毛重': '0.71kg', '商品产地': '福建泉州', '货号': 'C-2359HH8802-ZY', '材质': '涤纶(聚酯纤维)100%', '袖长': '长袖', '上市时间': '2023年冬季', '厚度': '常规', '适用人群': '青少年，青年', '流行元素': '车缝线', '穿着方式': '开衫', '领型': '连帽', '版型': '宽松型', '图案': '纯色', '适用场景': '居家，旅行', '风格': '日韩风', '日韩风': '韩版'}"
